Time,CNCF,GZSD,CARP,FWDM,SMBF,ERSN,BLGL,WTBS,BKCP
1993,1.16760071162993,0.860785077041273,0.693539252770887,0.339638032753555,0.340605656921924,0.161082598450745,0.356310645784761,1.56364720524716,0.067610237830077
1994,1.54076207953807,0.487978512679076,1.30356419415469,0.623077923951015,0.203463148678318,0.0796064177276545,0.514202160916651,0.326727900490749,0.32492894416089
1995,0.781781469355397,1.77486574044645,1.27196534540807,0.516010614359298,0.282947115714533,0.163564540459332,0.273427775073745,0.276488036620197,0.206594672393286
1996,0.611201151005667,1.7642232234581,1.16378597625067,0.858010599819791,0.345091160504073,0.0681479334467975,0.184150675057944,0.454381484409499,0.192996837521856
1997,0.353272283756238,1.96013672214623,1.47973663321751,0.942353581242885,0.294060265191306,0.0479726145296879,0.147805858935052,0.110658660292436,0.308738019356778
1998,1.50833259267343,1.23402356428498,0.55448456339888,0.506701650619815,0.557181138756172,0.137448780489132,0.434588639924512,0.407314465102082,0.140197828204563
1999,1.15776659243729,1.08513881064945,1.02279825940973,0.487859260113451,0.445546667922839,0.173566934170776,0.695117720545493,0.155351422168878,0.338434992904838
2000,0.865341721057047,0.949933004988034,1.00118987780872,0.832826454659033,0.662711494009398,0.48660323246497,0.437172183558354,0.198730320593253,0.0594828987994487
2001,0.98403713412626,1.14319811280371,0.692501676305487,0.880357574242335,0.67103224129601,0.306252653407951,0.293723270871909,0.116016490996412,0.127580608447989
2002,1.00189188348895,1.25926975876782,0.482280254423521,1.05114687148881,0.536676682455293,0.0661212980575045,0.189329970399138,0.218254754839939,0.25412542822348
2003,1.26750215041364,0.771441279935699,0.699653882441092,0.698991235696256,0.612668790292568,0.622346524055997,0.129838515307196,0.418209065562722,0.144256396514115
2004,1.57664000699987,1.12763754077425,0.637352460276349,0.355765585220943,0.5343573485725,0.545493616726746,0.175413084382756,0.313229602117919,0.102276092484773
2005,1.46011165426982,0.910723817458041,0.62369013004396,0.7182449642228,0.40593881628469,0.682309149960254,0.153935078223,0.241798486420241,0.0509525255378152
2006,1.9501035779423,0.931979405937846,0.549003724662414,0.387102679515624,0.360743952272576,0.874826733536847,0.0622722859671725,0.236889787522369,0.00124239054008781
2007,1.82587443521944,1.51939784359179,0.546974492284935,0.10854078547511,0.415217655391366,0.245174349038173,0.122960637918052,0.2424585351373,0.0372598750569153
2008,1.76486425185771,0.745540243045755,0.146082389933908,0.322562563629874,0.496968501589514,0.244597295026826,0.332702040574149,0.122296594666655,0.113197754537492
2009,1.90063111205121,0.222550672802071,0.443804738783707,0.490508907702655,0.237399691473818,0.550425344986737,0.556232281339224,0.118550645856456,0.243738398991473
2010,1.95800835469842,0.662652298572455,0.154400931578961,0.648278183652142,0.138902259357934,0.433008431006151,0.856022526837149,0.095944241054638,0.195816705788569
2011,1.54982754792139,1.15138060459782,0.283154834952222,0.480642097548053,0.404941096532267,0.0834386414896828,0.277117010923333,0.195756797037786,0.205237357628628
2012,1.28792732057994,1.08960212559523,0.752181310104664,0.450291340261006,0.350622246067357,0.366969018598029,0.239254542542489,0.0468551947022282,0.167896633101133
2013,1.06303193930263,1.1341138834808,0.349101243341273,0.429607532279585,0.42795339200935,0.455299622789292,0.16327613744501,0.31968622476595,0.159480598715393
2014,1.16307662270593,0.682879833324622,0.187808036381367,0.308168042120897,0.534301513623958,0.314059479206887,0.149612430553251,0.434741336204333,0.193663510745347
2015,0.99725802076204,0.459866031536809,0.224171734571888,1.00674951652354,0.432227814662481,0.737902368608075,0.373962845709964,0.351555878685637,0.388206814013619
